trade_date,name,value
20230116,华为概念,2.094200000000001
20230117,华为概念,2.173200000000001
20230118,华为概念,3.0995000000000013
20230119,华为概念,4.189300000000001
20230120,华为概念,4.961800000000002
20230130,华为概念,6.969100000000003
20230131,华为概念,7.112700000000002
20230201,华为概念,9.570600000000002
20230202,华为概念,9.765000000000002
20230203,华为概念,10.792600000000002
20230206,华为概念,11.227400000000001
20230207,华为概念,12.050500000000001
20230208,华为概念,11.3076
20230209,华为概念,13.346000000000002
20230210,华为概念,12.942300000000001
20230213,华为概念,13.6043
20230214,华为概念,13.089
20230215,华为概念,14.7779
20230216,华为概念,12.0943
20230217,华为概念,10.1819
20230220,华为概念,11.742
20230221,华为概念,11.9387
20230222,华为概念,12.2416
20230223,华为概念,11.4375
20230224,华为概念,11.541
20230227,华为概念,10.248700000000001
20230228,华为概念,11.553
20230301,华为概念,13.6808
20230302,华为概念,13.593099999999998
20230303,华为概念,13.189099999999998
20230306,华为概念,13.1945
20230307,华为概念,10.6089
20230308,华为概念,12.670800000000002
20230309,华为概念,13.228400000000002
20230310,华为概念,12.097600000000002
20230313,华为概念,12.909800000000002
20230314,华为概念,11.802300000000002
20230315,华为概念,11.769900000000002
20230316,华为概念,10.050000000000002
20230317,华为概念,12.114400000000002
20230320,华为概念,12.169300000000002
20230321,华为概念,13.889100000000001
20230322,华为概念,15.6198
20230323,华为概念,16.3975
20230324,华为概念,17.450200000000002
20230327,华为概念,17.9294
20230328,华为概念,15.9872
20230329,华为概念,16.0635
20230330,华为概念,15.132399999999999
20230331,华为概念,16.6094
20230403,华为概念,18.8151
20230404,华为概念,18.2393
20230406,华为概念,18.423000000000002
20230407,华为概念,19.764300000000002
20230410,华为概念,17.3381
20230411,华为概念,17.8812
20230412,华为概念,20.0305
20230413,华为概念,18.3047
20230414,华为概念,18.8404
20230417,华为概念,17.386799999999997
20230418,华为概念,16.925399999999996
20230419,华为概念,17.231599999999997
20230420,华为概念,18.163499999999996
20230421,华为概念,13.207799999999994
20230424,华为概念,12.724299999999994
20230425,华为概念,10.032199999999994
20230426,华为概念,9.548999999999994
20230427,华为概念,8.488099999999994
20230428,华为概念,11.445799999999993
20230504,华为概念,11.193899999999994
20230505,华为概念,10.621299999999994
20230508,华为概念,11.755599999999994
20230509,华为概念,10.039499999999995
20230510,华为概念,10.633099999999995
20230511,华为概念,10.967199999999995
20230512,华为概念,9.534499999999994
20230515,华为概念,10.150599999999994
20230516,华为概念,8.882199999999994
20230517,华为概念,10.443399999999993
20230518,华为概念,12.501099999999992
20230519,华为概念,13.025999999999991
20230522,华为概念,12.79289999999999
20230523,华为概念,11.326299999999991
20230524,华为概念,11.839999999999991
20230525,华为概念,11.89289999999999
20230526,华为概念,13.085399999999991
20230529,华为概念,13.29619999999999
20230530,华为概念,14.565399999999991
20230531,华为概念,15.433999999999992
20230601,华为概念,16.337399999999995
20230602,华为概念,16.854799999999994
20230605,华为概念,17.686499999999995
20230606,华为概念,15.258599999999992
20230607,华为概念,16.703299999999995
20230608,华为概念,15.727099999999995
20230609,华为概念,16.945399999999996
20230612,华为概念,18.060399999999994
20230613,华为概念,19.185399999999994
20230614,华为概念,19.416799999999995
20230615,华为概念,19.227599999999995
20230616,华为概念,20.785999999999994
20230619,华为概念,22.270999999999994
20230620,华为概念,22.199399999999994
20230621,华为概念,19.548199999999994
20230626,华为概念,16.263799999999993
20230627,华为概念,17.737899999999993
20230628,华为概念,16.185599999999994
20230629,华为概念,17.920299999999994
20230630,华为概念,19.191899999999993
20230703,华为概念,19.130899999999993
20230704,华为概念,20.283599999999993
20230705,华为概念,19.280899999999992
20230706,华为概念,19.70499999999999
20230707,华为概念,18.27829999999999
20230710,华为概念,17.902599999999993
20230711,华为概念,19.13779999999999
20230712,华为概念,17.204599999999992
20230713,华为概念,18.744299999999992
20230714,华为概念,19.739199999999993
20230717,华为概念,19.443899999999992
20230718,华为概念,18.899299999999993
20230719,华为概念,18.605599999999992
20230720,华为概念,16.48249999999999
20230721,华为概念,15.439899999999989
20230724,华为概念,15.73519999999999
20230725,华为概念,17.41529999999999
20230726,华为概念,15.70009999999999
20230727,华为概念,14.44739999999999
20230728,华为概念,14.98069999999999
20230731,华为概念,15.731599999999991
20230801,华为概念,15.700899999999992
20230802,华为概念,16.010699999999993
20230803,华为概念,15.59819999999999
20230804,华为概念,17.018199999999993
20230807,华为概念,17.16519999999999
20230808,华为概念,16.54249999999999
20230809,华为概念,15.411699999999987
20230810,华为概念,15.444699999999989
20230811,华为概念,13.402499999999987
20230814,华为概念,14.483899999999986
20230815,华为概念,13.206699999999985
